"Volume_Name","Volume_Type","Runway_Name","Point_Sequence","Latitude","Longitude","Min_Altitude","Max_Altitude"
"09L_S_Intercept","PLT","R09L",3,0.896633,-0.0200537,-152.400009155273,2042.16003417969
"09L_S_Intercept","PLT","R09L",4,0.896701,-0.0103057,-152.400009155273,2042.16003417969
"09L_S_Intercept","PLT","R09L",5,0.898444,-0.0103261,-152.400009155273,2042.16003417969
"09L_Switch","PLT","R09L",1,0.898373,-0.00846435,-152.400009155273,2042.16003417969
"09L_Switch","PLT","R09L",2,0.898295,-0.00846362,-152.400009155273,2042.16003417969
"09L_Switch","PLT","R09L",3,0.898219,-0.0200915,-152.400009155273,2042.16003417969
"09L_Switch","PLT","R09L",4,0.898298,-0.0200934,-152.400009155273,2042.16003417969
"09L_Switch","PLT","R09L",5,0.898373,-0.00846435,-152.400009155273,2042.16003417969
"09R_Climb_Out","PLT","R09R",1,0.897362,-0.00748125,-152.400009155273,2286
"09R_Climb_Out","PLT","R09R",2,0.899105,-0.00749499,-152.400009155273,2286
"09R_Climb_Out","PLT","R09R",3,0.899085,-0.0121512,-152.400009155273,2286
"09R_Climb_Out","PLT","R09R",4,0.897342,-0.0121273,-152.400009155273,2286
"09R_Climb_Out","PLT","R09R",5,0.897362,-0.00748125,-152.400009155273,2286
"09R_E_0DME","PLT","R09R",1,0.896487,-0.00840261,-152.400009155273,2286
"09R_E_0DME","PLT","R09R",2,0.899973,-0.00843417,-152.400009155273,2286
"09R_E_0DME","PLT","R09R",3,0.899976,-0.00750189,-152.400009155273,2286
"09R_E_0DME","PLT","R09R",4,0.89649,-0.0074744,-152.400009155273,2286
"09R_E_0DME","PLT","R09R",5,0.896487,-0.00840261,-152.400009155273,2286
"09R_E_4DME","PLT","R09R",1,0.899966,-0.0102987,-152.400009155273,2286
"09R_E_4DME","PLT","R09R",2,0.899976,-0.00750189,-152.400009155273,2286
"09R_E_4DME","PLT","R09R",3,0.89649,-0.0074744,-152.400009155273,2286
"09R_E_4DME","PLT","R09R",4,0.896479,-0.010259,-152.400009155273,2286
"09R_E_4DME","PLT","R09R",5,0.899966,-0.0102987,-152.400009155273,2286
"09R_GT_1_N","PLT","R09R",1,0.898524,-0.0074904,-152.400009155273,2286
"09R_GT_1_N","PLT","R09R",2,0.898447,-0.0200522,-152.400009155273,2286
"09R_GT_1_N","PLT","R09R",3,0.899899,-0.0200866,-152.400009155273,2286
